net,length_um
_100_,311.22
_118_,284.04
_119_,280.12
_153_,272.48
_101_,252.43
_106_,247.44
_158_,243.86
_107_,235.72
net19,235.26
_104_,228.03
net34,227.2
net2,224.79
net18,221.68
net5,214.54
_103_,213.08
_156_,207.27
_134_,196.66
_023_,193.84
_138_,191.34
net11,186.74
_169_,183.92
net6,181.34
_046_,179.68
_132_,176.45
net17,175.42
_007_,172.04
net12,170.8
_095_,168.18
_151_,167.72
net14,165.395
_039_,164.25
net10,162.94
_128_,162.62
_005_,162.51
_133_,159.48
_124_,158.72
_162_,152.84
_065_,152.62
_038_,149.68
net13,149.635
_012_,148.9
_137_,146.82
_002_,146.615
_121_,146.55
_015_,146.4
_114_,145.93
_145_,145.4
_122_,143.8
_027_,142.64
_166_,142
net15,141.48
_113_,140.615
_120_,139.92
_028_,139.52
_111_,137.7
_008_,136.64
net8,136
net3,135.66
_064_,133.74
_043_,133.58
_080_,133.3
_155_,131.58
_102_,129.86
net7,129.38
_125_,128.76
_010_,128.63
net20,128.29
_044_,128
net4,127.74
net28,127.41
net9,127.34
_150_,125.82
_094_,125.22
_147_,123.86
_129_,122.97
_047_,122.31
_090_,122.02
_143_,120.96
_117_,119.45
_011_,118.9
net1,118.02
_167_,117.78
_146_,116.58
_071_,116.04
_068_,115.72
_032_,115.61
_142_,112.78
_144_,112.72
_030_,112.7
_099_,112.23
_013_,112.1
_035_,110.2
net30,109.43
_130_,108.88
_098_,107.74
_024_,107.14
_019_,106.72
_168_,106.52
_079_,104.515
_036_,103.7
_031_,103.55
_112_,103.48
_069_,102.84
_040_,102.28
net25,102.28
_123_,102.24
_140_,100.86
_004_,100.25
_072_,99.8
_050_,99.73
_026_,98.9
_059_,97.46
_003_,95.5
_164_,94.34
_092_,91.48
_029_,90.88
_115_,90.78
_074_,89.04
_078_,88.44
_126_,87.66
_084_,86.44
_105_,84.75
net22,84.12
_057_,84.08
_000_,83.84
net24,82.26
net23,81.46
_058_,79.64
_091_,79.6
_154_,77.92
_014_,77.72
_025_,77.72
_060_,77.56
net26,77.56
_066_,77.08
_022_,76.88
_131_,76.62
_042_,75.98
net21,74.36
_006_,73.74
_083_,73.32
_135_,72.36
_141_,71.64
_067_,71.58
_016_,71.22
_085_,69.6
_116_,68.955
_108_,68.44
_076_,68.42
_082_,68.14
_148_,67.68
_045_,67.06
_070_,64.84
_149_,63.5
_139_,62.1
net27,61.62
_127_,60.88
_087_,60.12
_165_,59.195
_048_,58.24
_063_,56.4
net16,55.46
_041_,55.28
_017_,54.8
_051_,52.24
_009_,51.74
_089_,51.6
_052_,51.2
_037_,50.32
_159_,49.76
_020_,48.29
_034_,47.8
_061_,47.56
_073_,47.16
_110_,46.86
net31,46.86
_086_,46.18
_055_,41.32
_001_,40.7
_161_,35.76
net29,34.88
_021_,33.68
_097_,29.74
_018_,29.62
net32,28.06
_049_,27.6
_163_,27.54
_109_,21.66
_093_,19.94
_096_,19.78
_157_,18.98
_081_,18.575
_160_,18.26
_033_,16.68
_075_,14.88
_152_,13.78
_062_,13.56
out[2],13.43
_054_,13.04
_053_,11.36
opcode[0],11.11
_077_,10.6
_056_,8.74
net33,8.44
B[2],7.81
A[5],7.67
A[7],7.33
_088_,7.22
A[4],6.77
B[0],6.77
A[0],6.31
B[4],6.31
out[1],6.21
out[3],6.21
out[4],6.21
out[5],6.21
out[7],6.21
A[2],6.09
A[6],6.09
opcode[1],6.09
A[3],5.41
B[3],5.41
B[7],5.41
opcode[2],5.41
B[6],5.29
B[1],5.07
_136_,4.94
out[0],4.85
out[6],4.73
A[1],4.61
B[5],4.61
